job_key,job_title,company,location,source,score,match_percent,fit_category,target_track,recommended_resume,resume_fit_level,resume_fit_score,resume_suggestions,missing_or_watch_skills,interview_focus,job_intelligence_summary,why_this_fits,resume_focus,job_intelligence_interview_focus,potential_concerns,suggested_next_action,location_status,company_bonus,company_watchlist_category,target_strength,recommendation,apply_priority,application_status,application_stage,application_date,resume_used,cover_letter_used,recruiter_name,recruiter_email,interview_date,salary,follow_up_date,last_updated,job_link,notes,match_reasons,email_subject,email_date
sales operations support - hpen cloud|hewlett packard enterprise,Sales Operations Support - HPEN Cloud,Hewlett Packard Enterprise,"New Jersey, United States",LinkedIn,65,65,Possible Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Possible Resume Fit,65,"Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Revenue Operations,Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,"Sales Operations Support - HPEN Cloud at Hewlett Packard Enterprise is a possible match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,Review possible missing/watch skills: Revenue Operations,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Sales Ops / RevOps Resume,No,,,,,,2026-06-26,,,"operations, sales operations, erp","Analyst, Revenue Operations at JD Power",2026-06-26
ap operations coordinator|post consumer brands,AP Operations Coordinator,Post Consumer Brands,"Lakeville, MN (Hybrid)",LinkedIn,65,65,Possible Match,Business Analyst,Business Analyst Resume,Possible Resume Fit,65,"Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",None flagged,Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,"AP Operations Coordinator at Post Consumer Brands is a possible match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Business Analyst Resume,No,,,,,,2026-06-25,,,"operations, Hybrid, Minnesota location",Business Analyst/Project Coordinator at On-Demand Group: up to $75/hour,2026-06-25
senior financial systems analyst (hybrid)|intact insurance specialty solutions,Senior Financial Systems Analyst (Hybrid),Intact Insurance Specialty Solutions,"Plymouth, MN, United States",Google Job Alert,65,65,Possible Match,Business Analyst,Business Analyst Resume,Possible Resume Fit,65,"Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",None flagged,Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,"Senior Financial Systems Analyst (Hybrid) at Intact Insurance Specialty Solutions is a possible match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Business Analyst Resume,No,,,,,,2026-06-25,,,"analyst, Hybrid, Minnesota location","10 new jobs for ""business analyst jobs mn"" - Jun 25",2026-06-25
[remote] crm / retention manager (email & sms)|hirevista,[Remote] CRM / Retention Manager (Email & SMS),hirevista,Kenya,Google Job Alert,65,65,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,65,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"[Remote] CRM / Retention Manager (Email & SMS) at hirevista is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-25,,,"crm, Remote","10 new jobs for ""crm administrator remote "" - Jun 25",2026-06-25
"crm specialist, e-commerce (remote)|remotepromsp","CRM Specialist, E-Commerce (Remote)",remotepromsp,United States,Google Job Alert,65,65,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,65,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"CRM Specialist, E-Commerce (Remote) at remotepromsp is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-25,,,"crm, Remote","10 new jobs for ""crm administrator remote "" - Jun 25",2026-06-25
salesforce administrator|tricom technical services,SalesForce Administrator,TriCom Technical Services,"Little Canada, MN, United States",Google Job Alert,65,65,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,65,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"SalesForce Administrator at TriCom Technical Services is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Location appears outside the target area,Review only if time allows,Outside Target Area,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"salesforce administrator, salesforce admin, salesforce, Minnesota location, Outside target location","10 new jobs for ""salesforce admin jobs mn"" - Jun 25",2026-06-25
associate technical analyst|talentally,Associate Technical Analyst,TalentAlly,Greater Minneapolis-St. Paul Area (Hybrid),LinkedIn,65,65,Possible Match,Salesforce / CRM,Salesforce Resume,Possible Resume Fit,65,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Associate Technical Analyst at TalentAlly is a possible match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, Hybrid, Minnesota location",Salesforce Administrator at TriCom Technical Services,2026-06-25
business systems analyst - hybrid|genesis10,Business Systems Analyst - Hybrid,Genesis10,"Minneapolis, MN, United States",Google Job Alert,65,65,Possible Match,Business Analyst,Business Analyst Resume,Possible Resume Fit,65,"Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",None flagged,Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,"Business Systems Analyst - Hybrid at Genesis10 is a possible match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, Hybrid, Minnesota location","10 new jobs for ""business analyst jobs mn"" - Jun 24",2026-06-24
sr data analyst - crecera brands|salt strong,Sr Data Analyst - Crecera Brands,Salt Strong,"Bloomington, MN, United States",Google Job Alert,65,65,Possible Match,Data / Reporting,Business Analytics Resume,Possible Resume Fit,65,"Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",None flagged,Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,"Sr Data Analyst - Crecera Brands at Salt Strong is a possible match for the Data / Reporting track. Aligns with reporting, dashboards, Excel, Tableau, and analytics development Good opportunity to discuss data storytelling and decision support Matches preferred location/work arrangement","Aligns with reporting, dashboards, Excel, Tableau, and analytics development | Good opportunity to discuss data storytelling and decision support | Matches preferred location/work arrangement","Use Business Analytics Resume. Focus on: Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, data analyst, Minnesota location","10 new jobs for ""analyst  jobs mn"" - Jun 24",2026-06-24
data analyst|cloud data vision llc,Data Analyst,Cloud Data Vision LLC,"Lauderdale, MN, United States",Google Job Alert,65,65,Possible Match,Data / Reporting,Business Analytics Resume,Possible Resume Fit,65,"Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",None flagged,Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,"Data Analyst at Cloud Data Vision LLC is a possible match for the Data / Reporting track. Aligns with reporting, dashboards, Excel, Tableau, and analytics development Good opportunity to discuss data storytelling and decision support Matches preferred location/work arrangement","Aligns with reporting, dashboards, Excel, Tableau, and analytics development | Good opportunity to discuss data storytelling and decision support | Matches preferred location/work arrangement","Use Business Analytics Resume. Focus on: Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,No major concerns flagged by current rules,Review only if time allows,Preferred,0,,Strong Target,Review,Review if time,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"analyst, data analyst, Minnesota location","10 new jobs for ""analyst  jobs mn"" - Jun 24",2026-06-24
