duplicate_key,kept_job_title,kept_company,kept_location,kept_source,duplicate_job_title,duplicate_company,duplicate_location,duplicate_source,reason,kept_apply_url,duplicate_apply_url,kept_email_subject,duplicate_email_subject
job|portfolio leader (manager/sr. manager/director)|salesforce|minnesota,Portfolio Leader (Manager/Sr. Manager/Director),Salesforce,"Minneapolis, MN, United States",Google Job Alert,Portfolio Leader (Manager/Sr. Manager/Director),Salesforce,"Minneapolis, MN, United States",Google Job Alert,Same normalized title/company/location,,,"2 new jobs for ""salesforce admin jobs mn"" - Jun 27","2 new jobs for ""salesforce admin jobs mn"" - Jun 27"
job|salesforce|minneapolis mn united states|via linkedin,Salesforce,"Minneapolis, MN, United States",via LinkedIn,Google Job Alert,Salesforce,"Minneapolis, MN, United States",via LinkedIn,Google Job Alert,Same normalized title/company/location,,,"2 new jobs for ""salesforce admin jobs mn"" - Jun 27","2 new jobs for ""salesforce admin jobs mn"" - Jun 27"
"job|salesforce.com, inc.|minnesota city mn united states|via management jobs for colu fans","Salesforce.com, Inc.","Minnesota City, MN, United States",via Management Jobs For ColU Fans,Google Job Alert,"Salesforce.com, Inc.","Minnesota City, MN, United States",via Management Jobs For ColU Fans,Google Job Alert,Same normalized title/company/location,,,"2 new jobs for ""salesforce admin jobs mn"" - Jun 27","2 new jobs for ""salesforce admin jobs mn"" - Jun 27"
url|linkedin.com|jobs/view/4429577012,Client Service Specialist - Inside Sales,Bio-Techne,"Minneapolis, MN",LinkedIn,Inside Sales Representative,Olympic Steel,"Minneapolis, MN",LinkedIn,Same apply URL,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,Client Service Specialist - Inside Sales at Bio-Techne,Client Service Specialist - Inside Sales at Bio-Techne
url|linkedin.com|jobs/view/4429577012,Client Service Specialist - Inside Sales,Bio-Techne,"Minneapolis, MN",LinkedIn,Senior Inside Sales Advisor (Remote/Central Time),A Place for Mom,"Minneapolis, MN (Remote)",LinkedIn,Same apply URL,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,Client Service Specialist - Inside Sales at Bio-Techne,Client Service Specialist - Inside Sales at Bio-Techne
url|linkedin.com|jobs/view/4429577012,Client Service Specialist - Inside Sales,Bio-Techne,"Minneapolis, MN",LinkedIn,"Client Executive, Optum Health - Remote",Optum,"Eden Prairie, MN",LinkedIn,Same apply URL,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,Client Service Specialist - Inside Sales at Bio-Techne,Client Service Specialist - Inside Sales at Bio-Techne
url|linkedin.com|jobs/view/4429577012,Client Service Specialist - Inside Sales,Bio-Techne,"Minneapolis, MN",LinkedIn,Business Development Representative,Siteimprove,"Minneapolis, MN (Hybrid)",LinkedIn,Same apply URL,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,Client Service Specialist - Inside Sales at Bio-Techne,Client Service Specialist - Inside Sales at Bio-Techne
url|linkedin.com|jobs/view/4429577012,Client Service Specialist - Inside Sales,Bio-Techne,"Minneapolis, MN",LinkedIn,Inside Sales Insurance Specialist,AMBA,"St Paul, MN",LinkedIn,Same apply URL,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,https://www.linkedin.com/comm/jobs/view/4429577012/?trackingId=O3UAUrUOgzZZ2L7RQgwOgw%3D%3D&refId=l3Ih9dfbgDQqQ3XMVXqoKw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BOpSV66usQ3KiG7sBjtm0Cw%3D%3D&midToken=AQEueGkJOVadGg&midSig=2gCDDnk89ylsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4429577012_ssid_15481358100_fmid_e8kqnz~mqwm3p0d~sr-null-e8kqnz~mqwm3p0d~sr-null-null&eid=e8kqnz-mqwm3p0d-sr&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYmM4ZmNlZDE0OTk5YWY4ZjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNTk2NzhkMmM4YzgwMWZkNjY5YWQ5NjI2NDI4ZmM3ODliZTFkYjhiMDY4NDMwNDgsMSwx,Client Service Specialist - Inside Sales at Bio-Techne,Client Service Specialist - Inside Sales at Bio-Techne
url|linkedin.com|jobs/view/4432902742,Inside Sales Representative,Avnet,"Edina, MN (Hybrid)",LinkedIn,Inside Sales Representative,Laborie,"Plymouth, MN (Hybrid)",LinkedIn,Same apply URL,https://www.linkedin.com/comm/jobs/view/4432902742/?trackingId=ByEsToQ2nQEc3iEwFBDXHQ%3D%3D&refId=5bMupNLx%2F5dYKTd66r70sA%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BFY%2BUbaBuR1GrqmeGe0jtDA%3D%3D&midToken=AQEueGkJOVadGg&midSig=2jf4hdnxVPlck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432902742_ssid_15481358100_fmid_e8kqnz~mqwdj21v~me&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432902742_ssid_15481358100_fmid_e8kqnz~mqwdj21v~me-null-e8kqnz~mqwdj21v~me-null-null&eid=e8kqnz-mqwdj21v-me&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYjI4YWM4ZDQ0MzlkYWQ4NjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNWIwNmFlZGI4ZDA3NTlmZDZmMDQ0YzUyOGM0M2MxZWIxMzhjYWMxYWExOGEyYWUsMSwx,https://www.linkedin.com/comm/jobs/view/4432902742/?trackingId=ByEsToQ2nQEc3iEwFBDXHQ%3D%3D&refId=5bMupNLx%2F5dYKTd66r70sA%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BFY%2BUbaBuR1GrqmeGe0jtDA%3D%3D&midToken=AQEueGkJOVadGg&midSig=2jf4hdnxVPlck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432902742_ssid_15481358100_fmid_e8kqnz~mqwdj21v~me&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432902742_ssid_15481358100_fmid_e8kqnz~mqwdj21v~me-null-e8kqnz~mqwdj21v~me-null-null&eid=e8kqnz-mqwdj21v-me&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYjI4YWM4ZDQ0MzlkYWQ4NjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNWIwNmFlZGI4ZDA3NTlmZDZmMDQ0YzUyOGM0M2MxZWIxMzhjYWMxYWExOGEyYWUsMSwx,Inside Sales Representative at Avnet,Inside Sales Representative at Avnet
url|linkedin.com|jobs/view/4432902742,Inside Sales Representative,Avnet,"Edina, MN (Hybrid)",LinkedIn,Remote Inside Sales Representative,Liberty Mutual Insurance,"Minneapolis, MN",LinkedIn,Same apply URL,https://www.linkedin.com/comm/jobs/view/4432902742/?trackingId=ByEsToQ2nQEc3iEwFBDXHQ%3D%3D&refId=5bMupNLx%2F5dYKTd66r70sA%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BFY%2BUbaBuR1GrqmeGe0jtDA%3D%3D&midToken=AQEueGkJOVadGg&midSig=2jf4hdnxVPlck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432902742_ssid_15481358100_fmid_e8kqnz~mqwdj21v~me&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432902742_ssid_15481358100_fmid_e8kqnz~mqwdj21v~me-null-e8kqnz~mqwdj21v~me-null-null&eid=e8kqnz-mqwdj21v-me&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYjI4YWM4ZDQ0MzlkYWQ4NjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNWIwNmFlZGI4ZDA3NTlmZDZmMDQ0YzUyOGM0M2MxZWIxMzhjYWMxYWExOGEyYWUsMSwx,https://www.linkedin.com/comm/jobs/view/4432902742/?trackingId=ByEsToQ2nQEc3iEwFBDXHQ%3D%3D&refId=5bMupNLx%2F5dYKTd66r70sA%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BFY%2BUbaBuR1GrqmeGe0jtDA%3D%3D&midToken=AQEueGkJOVadGg&midSig=2jf4hdnxVPlck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432902742_ssid_15481358100_fmid_e8kqnz~mqwdj21v~me&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432902742_ssid_15481358100_fmid_e8kqnz~mqwdj21v~me-null-e8kqnz~mqwdj21v~me-null-null&eid=e8kqnz-mqwdj21v-me&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYjI4YWM4ZDQ0MzlkYWQ4NjYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkNWIwNmFlZGI4ZDA3NTlmZDZmMDQ0YzUyOGM0M2MxZWIxMzhjYWMxYWExOGEyYWUsMSwx,Inside Sales Representative at Avnet,Inside Sales Representative at Avnet
