job_key,job_title,company,status,application_stage,date_applied,follow_up,last_updated,resume_used,cover_letter_used,recruiter_name,recruiter_email,interview_date,salary,apply_url,source_email_url,job_link,notes
"advisory services consultant, consultant development program - multiple locations|optum","Advisory Services Consultant, Consultant Development Program - Multiple Locations",Optum,Applied,,6/25/2026,,6/25/2026,,,,,,,,,,
sourcing specialist|u.s. bank,Sourcing Specialist,U.S. Bank,Not Applied,,,,6/25/2026,,,,,,,,,,
"trader, operations|osaic","Trader, Operations",Osaic,Not Applied,,,,6/25/2026,,,,,,,,,,
incident response analyst|apex systems,Incident Response Analyst,Apex Systems,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce admin jobs mn|minnesota,Salesforce admin jobs mn,Minnesota,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce administrator|tricom technical services,SalesForce Administrator,TriCom Technical Services,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce admin|robert half,Salesforce Admin,Robert Half,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce system administrator|banner engineering,Salesforce System Administrator,Banner Engineering,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce support associate: grow toward admin certification|111 cambria company llc,Salesforce Support Associate: Grow toward Admin Certification,111 Cambria Company LLC,Not Applied,,,,6/25/2026,,,,,,,,,,
"sr. salesforce administrator|patterson companies, inc.",Sr. Salesforce Administrator,"Patterson Companies, Inc.",Not Applied,,,,6/25/2026,,,,,,,,,,
global salesforce admin & bi reporting lead|banner engineering,Global Salesforce Admin & BI Reporting Lead,Banner Engineering,Not Applied,,,,6/25/2026,,,,,,,,,,
senior salesforce administrator|versique search & consulting,Senior Salesforce Administrator,Versique Search & Consulting,Not Applied,,,,6/25/2026,,,,,,,,,,
senior salesforce admin|summit companies,Senior Salesforce Admin,Summit Companies,Not Applied,,,,6/25/2026,,,,,,,,,,
remote senior salesforce admin - drive crm innovation|first advantage,Remote Senior Salesforce Admin - Drive CRM Innovation,First Advantage,Not Applied,,,,6/25/2026,,,,,,,,,,
salesforce system admin|ethereum technologies llc,Salesforce System Admin,ETHEREUM TECHNOLOGIES LLC,Not Applied,,,,6/25/2026,,,,,,,,,,
