job_title,company,location,source,score,fit_category,target_track,recommended_resume,resume_fit_level,job_intelligence_summary,why_this_fits,resume_focus,job_intelligence_interview_focus,potential_concerns,suggested_next_action,application_stage,email_date
Revenue Operations Analyst (RevOps) – Salesforce,Informativ,United States (Remote),LinkedIn,215,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Revenue Operations Analyst (RevOps) – Salesforce at Informativ is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
Sales Operations Analyst / Salesforce / AI,Motion Recruitment,"San Francisco, CA (Remote)",LinkedIn,180,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Sales Operations Analyst / Salesforce / AI at Motion Recruitment is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Salesforce Admin Certified Business Analyst II,The Adecco Group,United States (Remote),LinkedIn,175,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Admin Certified Business Analyst II at The Adecco Group is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
Global Salesforce CRM Administrator | Data & Reporting,Heraeus Holding GmbH,"St Paul, MN, United States",Google Job Alert,170,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Global Salesforce CRM Administrator | Data & Reporting at Heraeus Holding GmbH is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
"Salesforce administrator hybrid near Minneapolis, MN","Minneapolis, MN",Logo,Google Job Alert,170,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce administrator hybrid near Minneapolis, MN at Minneapolis, MN is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Senior Salesforce Admin — Hybrid: Drive CRM Automation,"Patterson Companies, Inc.","Minneapolis, MN, United States",Google Job Alert,170,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Senior Salesforce Admin — Hybrid: Drive CRM Automation at Patterson Companies, Inc. is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Salesforce Administrator,Decera Clinical,United States (Remote),LinkedIn,165,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Administrator at Decera Clinical is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
Salesforce Administrator,Insight Global,United States (Remote),LinkedIn,165,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Administrator at Insight Global is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
"Salesforce Administrator US, Remote",Eleos Health Inc.,"90210, Beverly Hills, CA, United States",Google Job Alert,165,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Administrator US, Remote at Eleos Health Inc. is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Junior Salesforce Administrator – Work From Home,IT Recruiters for Tech Jobs - itrecruiters.technology,"Chicago, IL, United States",Google Job Alert,165,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Junior Salesforce Administrator – Work From Home at IT Recruiters for Tech Jobs - itrecruiters.technology is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
